,CDS Code,County,District Name,Locale Classifications,District Type,2023-24 Student Enrollment,2023-24 % Unduplicated,BP: 7111 Evaluating Existing Buildings,BP 7111 Year Adopted,BP 7111 Year of Policy Update if applicable,BP 7111 Link to Policy,AR: 7111 Evaluating Existing Buildings,AR 7111 Year Adopted,AR 7111 Year of Policy Update if applicable,AR 7111 Link to Policy,School Board Policy Commitments Score (out of 3),Building Electrification,Energy Efficiency,On-Site Renewables,HVAC: AC,Indoor Air Quality,Energy Resilience,Fleet Electrification,EV Chargers for Parking,Water Conservation,Zero Waste Initiative,Schoolyard Forest,School Gardens,District-Wide Curriculum Environmental or Climate Literacy Indicators (up to 3),Overall District Action and Literacy Initiative Indicators (up to 10),Staff Capacity Indicators (up to 4),W/O Policy Environmental and Climate Action Score (17 points),"Plans, Communication, and Awards Indicators (up to 3)",District-Wide Campus Sustainability Indicators (up to 3),District-Wide Environmental Community and Culture Indicators (up to 3),Environmental and Climate Action Score (20 points),BP7111: Path to PDF,BP7111: PDF Text
60,10621090000000,Fresno,Clay Joint Elementary,Rural,Elementary School District,240,22,0.0,,,,1.0,2000,2000,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030591&revid=emeoj534nO4swE1P3GuEHg==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,0,1,1,1.0,1.0,1,0.0,0.0,0,0,0,1,1.5,5.0,0,5.0,0.0,3.0,0.5,8.0,,
61,10621580000000,Fresno,Fowler Unified,Town,Unified School District,2523,82,0.0,,,,1.0,2020,2020,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030962&revid=4WSUw4mV3zaPvWWf0BSRRg==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,2.5,1,1,1,0.0,0.0,0,1.0,0.0,1,0,0,1,1.0,4.5,1,5.5,0.0,3.0,0.5,8.0,,
62,10621660000000,Fresno,Fresno Unified,Urban,Unified School District,71447,88,1.0,1992,2000,https://resources.finalsite.net/images/v1717814146/fresnouorg/yqwjfsfpqm2gcxi5ctuk/7111-BP-Evaluating-Existing-Buildings.pdf,1.0,2000,2000,https://bp.fresnounified.org/wp-content/uploads/3514-AR-Environmental-Safety.pdf,3.0,1,0,1,1.0,1.0,1,1.0,1.0,1,1,0,1,3.0,7.5,1,9.0,0.5,3.0,1.5,12.0,Fresno_Unified_BP7111.pdf,"Fresno USD |  7000 |  BP  7111  Facilities  Evaluating Existing Buildings     The adequacy and design of all existing school facilities shall be evaluated periodically in terms  of meeting the needs of the instructional program and fulfilling the requirements of law regarding  safety and structural soundness, accessibility to the handicapped and energy conservation.  A primary consideration in evaluating existing facilities shall be the preservation of a healthful  environment for students and staff as well as providing an aesthetically pleasing learning and  working atmosphere.  In the evaluation of existing buildings, the installation of energy conserving devices, including  insulation or the implementation of other design modifications, shall be considered as permitted  by law for purposes of reducing energy costs.  Legal Reference:  EDUCATION CODE  17650 - 17653 Retrofitting existing school facilities for energy conservation  39210-39228 Fitness for occupancy (repair, renovation, or replacement of existing buildings),  especially  17367 Building examinations; required actions of governing board upon report of unsafe  conditions  Policy FRESNO UNIFIED SCHOOL DISTRICT  adopted: March 26, 1992 Fresno, California  reviewed: March 2000    "
63,10622400000000,Fresno,Kingsburg Elementary Charter,Town,Elementary School District,2150,73,0.0,,,,1.0,2011,2012,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030694&revid=jZDVVS9HHFkxFLbcNqVdiQ==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,0,1,0,1.0,1.0,0,0.0,0.0,1,1,0,1,1.0,5.0,0,5.0,0.0,3.0,1.0,8.0,,
64,10622650000000,Fresno,Kings Canyon Joint Unified,Town,Unified School District,9655,89,1.0,2007,2007,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030278&revid=YSLJ5eQcMKyCU9ONUcplus6fw==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,1.0,2007,2007,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030278&revid=PcCxh2AqwOohEbGCeZVf4w==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,0,0,1,1.0,1.0,1,1.0,1.0,0,0,0,1,1.5,6.0,1,7.0,0.0,3.0,1.5,10.0,Kings_Canyon_Unified_BP7111.pdf,"Policy 7111: Evaluating Existing Buildings Status: ADOPTED Original Adopted Date: 07/05/1988 | Last Reviewed Date: 07/05/1988 The adequacy and design of all existing school facilities shall be evaluated periodically in terms of meeting the needs of the instructional program and fulfilling the requirements of law regarding safety and structural soundness, accessibility to the handicapped and energy conservation. A primary consideration in evaluating existing facilities shall be the preservation of a healthful environment for students and staff as well as providing an aesthetically pleasing learning and working atmosphere. In the evaluation of existing buildings, the installation of energy conserving devices, including insulation or the implementation of other design modifications, shall be considered as permitted by law for purposes of reducing energy costs. Board Policy Manual Kings Canyon Unified School District "
65,10623310000000,Fresno,Orange Center,Rural,Elementary School District,1680,80,0.0,,,,1.0,2018,2018,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030622&revid=IkTP1T7vr4gMsGhUnbd3gw==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,0,1,1,1.0,1.0,1,0.0,0.0,1,1,0,1,0.5,3.5,1,4.5,0.0,3.0,0.0,7.5,,
66,10623560000000,Fresno,Pacific Union Elementary,Rural,Elementary School District,345,91,0.0,,,,1.0,2020,2020,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030182&revid=92VUUhTnY0qixfUN0z2pluspQ==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,0,0,1,1.0,1.0,0,0.0,0.0,0,1,0,1,1.5,4.5,1,5.5,0.0,2.5,0.5,8.5,,
67,10623720000000,Fresno,Pine Ridge Elementary,Rural,Elementary School District,68,35,0.0,,,,1.0,2012,2012,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030636&revid=UjplusGYGnU4En1zplus8o6MOPkg==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=p6cSCZdPToF4D3nrlpluslRnw==&PG=6&IRP=0&isPndg=false,3.0,0,1,0,0.0,0.0,1,0.0,0.0,0,0,0,1,1.0,4.0,0,4.5,0.5,2.0,0.5,8.0,,
68,10624140000000,Fresno,Sanger Unified,Town,Unified School District,13250,71,0.0,,,,1.0,2016,2016,https://drive.google.com/file/d/1wPldNoB5Kyv2AiWAsrxThRht7NxnUoCs/view,3.0,0,1,0,1.0,1.0,0,0.0,0.0,0,1,0,1,2.0,7.0,4,12.5,1.5,2.5,1.5,15.5,,
69,10624300000000,Fresno,Selma Unified,Town,Unified School District,5974,93,0.0,,,,1.0,2020,2020,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030442&revid=65slshhfUQBLIk24slshJej8ExQw==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,0,1,1,1.0,1.0,0,0.0,0.0,0,0,1,1,0.5,5.0,0,5.5,0.5,3.0,1.5,8.5,,
70,10625130000000,Fresno,Washington Colony Elementary,Suburban,Elementary School District,434,87,0.0,,,,1.0,2022,2022,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030815&revid=CNmRaslshmXhWva12XSJuatJQ==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=p6cSCZdPToF4D3nrlpluslRnw==&PG=6&IRP=0&isPndg=false,3.0,0,1,1,1.0,1.0,0,0.0,0.0,0,1,0,1,0.5,4.0,1,5.0,0.0,3.0,0.5,8.0,,
71,10738090000000,Fresno,Firebaugh-Las Deltas Unified,Rural,Unified School District,2193,94,0.0,,,,1.0,2017,2023,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030239&revid=lx0Tw1Kpb6b5Xzwp40SC5Q==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,1,1,0,1.0,1.0,0,0.0,0.0,1,0,0,0,0.5,3.5,0,4.0,0.5,2.0,1.0,7.0,,
72,10739650000000,Fresno,Central Unified,Urban,Unified School District,15955,82,0.0,,,,1.0,2017,2017,https://1.cdn.edl.io/IHFIJJdDGvimHz1IlLuhArjytMqph5AcS5SRLBl62lFMF6OX.pdf,3.0,0,0,1,1.0,1.0,0,1.0,1.0,0,0,0,1,0.5,3.5,1,5.0,0.5,3.0,0.0,8.0,,
73,10751270000000,Fresno,Mendota Unified,Rural,Unified School District,3949,98,0.0,,,,1.0,2013,2013,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030558&revid=A9gUF3QnSuC9nnQQ2WUb5w==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,0,1,0,0.0,0.0,0,0.0,0.0,0,1,0,0,1.0,3.5,0,3.5,0.0,1.5,1.0,6.5,,
74,10752340000000,Fresno,Golden Plains Unified,Rural,Unified School District,1387,99,0.0,,,,1.0,2014,2014,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030763&revid=tgsDYAWslshPcUplusnjUteNNUiw==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,0,1,1,1.0,1.0,1,0.0,0.0,1,1,0,1,1.0,4.0,0,4.0,0.0,3.0,0.0,7.0,,
75,10752750000000,Fresno,Sierra Unified,Rural,Unified School District,1292,47,0.0,,,,1.0,2014,2014,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030474&revid=U1NQ1plusfv9lEnYiLIX1593g==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,1,1,0,1.0,1.0,0,0.0,0.0,1,1,0,1,1.5,5.0,0,5.5,0.5,3.0,0.5,8.5,,
76,10754080000000,Fresno,Riverdale Joint Unified,Town,Unified School District,1456,90,0.0,,,,1.0,2010,2010,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030386&revid=4XAN0slshkh94xPsJQSm3QZdg==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,2.0,1,1,1,1.0,1.0,0,0.0,0.0,1,1,0,1,1.0,4.5,0,4.5,0.0,3.0,0.5,6.5,,
77,10755980000000,Fresno,Caruthers Unified,Rural,Unified School District,1531,89,0.0,,,,1.0,2019,2019,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030719&revid=MccUGUxcau0mujj9Auh08w==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,1,0,0,1.0,1.0,0,0.0,0.0,1,1,0,0,1.0,3.0,0,3.0,0.0,2.0,0.0,6.0,,
